text,label
Das Produkt war schlecht nach dem neuesten Update.,0
Der Service war mangelhaft im Vergleich zu meinen Erwartungen.,0
Das Produkt war unakzeptabel .,0
Die Webseite war unerträglich .,0
Das Produkt war schlecht im Vergleich zu meinen Erwartungen.,0
Der Service war unakzeptabel ohne Vorankündigung.,0
Das Produkt war unakzeptabel im Vergleich zu meinen Erwartungen.,0
Die Webseite war unerträglich im Vergleich zu meinen Erwartungen.,0
Die App war unakzeptabel nach dem neuesten Update.,0
Das Produkt war mangelhaft zum zweiten Mal in Folge.,0
Die Lieferung war enttäuschend im Vergleich zu meinen Erwartungen.,0
Der Service war enttäuschend .,0
Das Produkt war unerträglich .,0
Die Lieferung war enttäuschend ohne Vorankündigung.,0
Die Lieferung war schlecht zum zweiten Mal in Folge.,0
Die Webseite war schlecht zum zweiten Mal in Folge.,0
Das Produkt war unakzeptabel nach dem neuesten Update.,0
Die Webseite war enttäuschend ohne Vorankündigung.,0
Der Service war schlecht .,0
Der Service war enttäuschend .,0
Der Service war schlecht zum zweiten Mal in Folge.,0
Die Lieferung war unerträglich nach dem neuesten Update.,0
Der Service war enttäuschend nach dem neuesten Update.,0
Der Service war enttäuschend .,0
Die Webseite war mangelhaft ohne Vorankündigung.,0
Der Service war mangelhaft zum zweiten Mal in Folge.,0
Die App war enttäuschend ohne Vorankündigung.,0
Der Service war enttäuschend .,0
Der Service war schlecht nach dem neuesten Update.,0
Die App war enttäuschend .,0
Der Service war unakzeptabel nach dem neuesten Update.,0
Der Service war unerträglich zum zweiten Mal in Folge.,0
Die App war mangelhaft nach dem neuesten Update.,0
Der Service war mangelhaft ohne Vorankündigung.,0
Die Webseite war enttäuschend ohne Vorankündigung.,0
Die App war unakzeptabel zum zweiten Mal in Folge.,0
Die Lieferung war mangelhaft im Vergleich zu meinen Erwartungen.,0
Die Webseite war unerträglich .,0
Das Produkt war schlecht im Vergleich zu meinen Erwartungen.,0
Der Service war unerträglich ohne Vorankündigung.,0
Das Produkt war unerträglich zum zweiten Mal in Folge.,0
Die Webseite war unerträglich ohne Vorankündigung.,0
Die Lieferung war unakzeptabel .,0
Das Produkt war unakzeptabel nach dem neuesten Update.,0
Die Lieferung war schlecht nach dem neuesten Update.,0
Die App war mangelhaft zum zweiten Mal in Folge.,0
Das Produkt war enttäuschend ohne Vorankündigung.,0
Der Service war unakzeptabel .,0
Die Lieferung war unakzeptabel ohne Vorankündigung.,0
Der Service war mangelhaft nach dem neuesten Update.,0
Der Service war unakzeptabel ohne Vorankündigung.,0
Das Produkt war unakzeptabel nach dem neuesten Update.,0
Die App war schlecht .,0
Die Lieferung war enttäuschend im Vergleich zu meinen Erwartungen.,0
Das Produkt war mangelhaft ohne Vorankündigung.,0
Das Produkt war schlecht zum zweiten Mal in Folge.,0
Das Produkt war unakzeptabel im Vergleich zu meinen Erwartungen.,0
Der Service war unerträglich ohne Vorankündigung.,0
Der Service war enttäuschend ohne Vorankündigung.,0
Die Webseite war unerträglich im Vergleich zu meinen Erwartungen.,0
Die Webseite war mangelhaft nach dem neuesten Update.,0
Die App war enttäuschend zum zweiten Mal in Folge.,0
Die Webseite war unerträglich .,0
Der Service war mangelhaft .,0
Die Lieferung war schlecht ohne Vorankündigung.,0
Die Webseite war mangelhaft ohne Vorankündigung.,0
Der Service war schlecht .,0
Das Produkt war mangelhaft .,0
Das Produkt war enttäuschend .,0
Die Webseite war mangelhaft nach dem neuesten Update.,0
Die App war mangelhaft ohne Vorankündigung.,0
Der Service war unakzeptabel ohne Vorankündigung.,0
Die App war mangelhaft zum zweiten Mal in Folge.,0
Die App war mangelhaft .,0
Das Produkt war unerträglich nach dem neuesten Update.,0
Die App war unerträglich zum zweiten Mal in Folge.,0
Das Produkt war schlecht .,0
Die App war enttäuschend .,0
Der Service war mangelhaft im Vergleich zu meinen Erwartungen.,0
Die Webseite war unerträglich im Vergleich zu meinen Erwartungen.,0
Die App war mangelhaft nach dem neuesten Update.,0
Die App war mangelhaft .,0
Die App war unakzeptabel .,0
Das Produkt war unakzeptabel .,0
Das Produkt war mangelhaft im Vergleich zu meinen Erwartungen.,0
Die App war unerträglich zum zweiten Mal in Folge.,0
Der Service war unerträglich .,0
Der Service war unerträglich .,0
Die App war enttäuschend zum zweiten Mal in Folge.,0
Die Lieferung war unerträglich ohne Vorankündigung.,0
Die App war mangelhaft im Vergleich zu meinen Erwartungen.,0
